target,model,n,accuracy,precision_macro,recall_macro,f1_macro,classes
Relevance,IIC/MEL,169,0.7941176470588235,0.8003952569169961,0.7714285714285715,0.7786046511627908,"0,1"
Interpretability,IIC/MEL,169,0.5294117647058824,0.45476190476190476,0.45698051948051943,0.44708994708994704,"1,2,3"
Completeness,IIC/MEL,169,0.7941176470588235,0.7375,0.7533333333333333,0.7443609022556391,"0,1"
Differential Regime,IIC/MEL,169,0.8235294117647058,0.8068181818181819,0.8068181818181819,0.8068181818181819,"0,1"
Discretionality,IIC/MEL,169,0.6764705882352942,0.6736111111111112,0.6754385964912281,0.6739319965126417,"0,1"
