target,text_col,n_rows_used,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro,classes
Relevance,Spanish text,169,135,34,0.7647058823529411,0.7571428571428571,0.7571428571428571,0.7571428571428572,"0,1"
Interpretability,Spanish text,169,135,34,0.47058823529411764,0.2619047619047619,0.3428030303030303,0.2717171717171717,"1,2,3"
Completeness,Spanish text,169,135,34,0.8235294117647058,0.8137931034482759,0.7022222222222222,0.7301587301587302,"0,1"
Differential Regime,Spanish text,169,135,34,0.8823529411764706,0.8678571428571429,0.8901515151515151,0.8754578754578755,"0,1"
Discretionality,Spanish text,169,135,34,0.7647058823529411,0.7655677655677655,0.7543859649122806,0.7571428571428571,"0,1"
