,precision,recall,f1-score,support
0,0.72,0.9,0.7999999999999999,20.0
1,0.7777777777777778,0.5,0.6086956521739131,14.0
accuracy,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589
macro avg,0.7488888888888889,0.7,0.7043478260869565,34.0
weighted avg,0.7437908496732026,0.7352941176470589,0.7212276214833759,34.0
